company,document_title,document_title_source,document_url
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Audit Committee Charter October 2025 docx 6a374a,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Audit-Committee-Charter-October-2025-docx-6a374a.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,audit committee complaint handling procedures 3,url,https://s201.q4cdn.com/865305287/files/doc_downloads/gov_docs/2023/audit-committee-complaint-handling-procedures-3.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Booking Holdings Inc DE Domestic Amendments 2 6e17ec,url,https://s201.q4cdn.com/865305287/files/doc_document_list/2026/Jun/03/Booking-Holdings-Inc-DE-Domestic-Amendments-2-6e17ec.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,BHI Code of Conduct 1180c1,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Jan/03/BHI-Code-of-Conduct-1180c1.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Booking Holdings By Laws October 17 2025 acfbf5,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Booking-Holdings-By-Laws-October-17-2025-acfbf5.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Corporate Governance Principles October 2025 cac4ba,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Corporate-Governance-Principles-October-2025-cac4ba.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Corporate Governance Committee Charter October 2025 docx c58360,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Corporate-Governance-Committee-Charter-October-2025-docx-c58360.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Global Anti Bribery and Corruption Policy,url,https://s201.q4cdn.com/865305287/files/gov_documents/Global-Anti-Bribery-and-Corruption-Policy.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,BHI Human Rights Statement 2022.04.14,url,https://s201.q4cdn.com/865305287/files/gov_documents/BHI-Human-Rights-Statement-2022.04.14.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Insider Trading Policy October 2024 a8e6bb,url,https://s201.q4cdn.com/865305287/files/doc_governance/2024/Oct/31/Insider-Trading-Policy-October-2024-a8e6bb.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,IRS Forms 8937 3 d125a7,url,https://s201.q4cdn.com/865305287/files/doc_document_list/2026/May/08/IRS-Forms-8937-3-d125a7.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Political Contributions policy July 2021,url,https://s201.q4cdn.com/865305287/files/gov_documents/Political-Contributions-policy-July-2021.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,10b5 1 Plan chart for Corporate Governance Website June 10 2026 docx de396e,url,https://s201.q4cdn.com/865305287/files/doc_document_list/2026/Jun/10/10b5-1-Plan-chart-for-Corporate-Governance-Website-June-10-2026-docx-de396e.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Responsibilities of the Chair of the Board October 2025 ba18d2,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Responsibilities-of-the-Chair-of-the-Board-October-2025-ba18d2.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Responsibilities of the Lead Independent Director October 2025 4c4e86,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Responsibilities-of-the-Lead-Independent-Director-October-2025-4c4e86.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Booking Holdings Stockholder Communications October 2025 27d540,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Booking-Holdings-Stockholder-Communications-October-2025-27d540.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,Talent and Compensation Committee Charter October 2025 docx f8ffbd,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Oct/20/Talent-and-Compensation-Committee-Charter-October-2025-docx-f8ffbd.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,booking holdings tax strategy final copy,url,https://s201.q4cdn.com/865305287/files/doc_governance/2024/Jun/booking-holdings_tax_strategy_final__copy_.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,20251120 BHI UK Tax Strategy 2025 FINAL dc3a75,url,https://s201.q4cdn.com/865305287/files/doc_governance/2025/Nov/20/20251120_BHI_UK-Tax-Strategy-2025_FINAL-dc3a75.pdf
https://ir.bookingholdings.com/governance/governance-documents/default.aspx,S172 UK Subsidiaries Governance Documents 9bb4d0,url,https://s201.q4cdn.com/865305287/files/doc_governance/2024/Dec/18/S172-UK-Subsidiaries-Governance-Documents-9bb4d0.pdf
https://www.broadcom.com/company/corporate-responsibility,Support Documents and Downloads,browser_or_html_text,https://www.broadcom.com/support/download-search
https://investors.broadcom.com/financial-information/tax-information,IRS Form 8937 – BROADCOM INC 414.3 KB,html_context_static_file,https://investors.broadcom.com/static-files/1ce50ba4-a2f6-45bb-b5b8-1f2e739ea74c
https://investors.broadcom.com/financial-information/tax-information,IRS Form 8937 - BROADCOM INC (successor to VMware Inc.) 371.2 KB,html_context_static_file,https://investors.broadcom.com/static-files/7720c4c1-c940-4d9d-800c-66819bfdc7a0
https://investors.broadcom.com/financial-information/tax-information,Broadcom Inc. Common Stock Outstanding 132.8 KB,html_context_static_file,https://investors.broadcom.com/static-files/e6466021-c530-4622-a87f-b46362945c64
https://investors.broadcom.com/financial-information/tax-information,"IRS Form 8937 – VMWARE, INC. Distribution November 2021 1.8 MB",html_context_static_file,https://investors.broadcom.com/static-files/c03396b2-538b-42c3-910c-dce218d5d9f1
https://investors.broadcom.com/financial-information/tax-information,"IRS Form 8937 – VMWARE, INC. Recapitalization November 2021 1.2 MB",html_context_static_file,https://investors.broadcom.com/static-files/7ba40d05-a5b8-454d-8140-7f9782069523
https://investors.broadcom.com/financial-information/tax-information,"IRS Form 8937 – VMWARE, INC. Distribution December 2018 1.3 MB",html_context_static_file,https://investors.broadcom.com/static-files/674c4fc3-6cc3-48cf-83b1-f6f6f3f75623
